handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_7f52bc7e-c0ee-410c-9727-09eee6de1f5c,Variant,,,,,,,,,true,,,InStock,,,,,M,,,ללא פאץ׳,,,לא,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7f52bc7e-c0ee-410c-9727-09eee6de1f5c,Variant,,,,,,,,50.0,true,,,InStock,,,,,M,,,ללא פאץ׳,,,הוסף מכנס - 50.00 ₪,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7f52bc7e-c0ee-410c-9727-09eee6de1f5c,Variant,,,,,,,,80.0,true,,,InStock,,,,,M,,,ללא פאץ׳,,,הוסף מכנס+גרביים - 80.00 ₪,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7f52bc7e-c0ee-410c-9727-09eee6de1f5c,Variant,,,,,,,,,true,,,InStock,,,,,M,,,ליגה,,,לא,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7f52bc7e-c0ee-410c-9727-09eee6de1f5c,Variant,,,,,,,,50.0,true,,,InStock,,,,,M,,,ליגה,,,הוסף מכנס - 50.00 ₪,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7f52bc7e-c0ee-410c-9727-09eee6de1f5c,Variant,,,,,,,,80.0,true,,,InStock,,,,,M,,,ליגה,,,הוסף מכנס+גרביים - 80.00 ₪,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7f52bc7e-c0ee-410c-9727-09eee6de1f5c,Variant,,,,,,,,,true,,,InStock,,,,,M,,,ליגת האלופות,,,לא,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7f52bc7e-c0ee-410c-9727-09eee6de1f5c,Variant,,,,,,,,50.0,true,,,InStock,,,,,M,,,ליגת האלופות,,,הוסף מכנס - 50.00 ₪,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7f52bc7e-c0ee-410c-9727-09eee6de1f5c,Variant,,,,,,,,80.0,true,,,InStock,,,,,M,,,ליגת האלופות,,,הוסף מכנס+גרביים - 80.00 ₪,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7f52bc7e-c0ee-410c-9727-09eee6de1f5c,Variant,,,,,,,,,true,,,InStock,,,,,L,,,ללא פאץ׳,,,לא,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7f52bc7e-c0ee-410c-9727-09eee6de1f5c,Variant,,,,,,,,50.0,true,,,InStock,,,,,L,,,ללא פאץ׳,,,הוסף מכנס - 50.00 ₪,,,,,,,,,,,,,,,,,,,,,,,,,,,,
